K=5, _  Value ,,,,K=10, _  Value ,,,K=40, _  Value 
0.329637399,0.4,,,,0,0.4,,,0,0.4
0.61465721,0.5,,,,0,0.5,,,0,0.5
1.651893634,0.6,,,,0.062150404,0.6,,,0,0.6
3.592400691,0.7,,,,0.434103143,0.7,,,0,0.7
7.091454273,0.8,,,,1.315192744,0.8,,,0,0.8
10.20761246,0.9,,,,5.241342425,0.9,,,0.093283582,0.9
15.31077514,1,,,,7.769607843,1,,,3.001429252,1
19.34634788,1.1,,,,13.02264808,1.1,,,8.025576011,1.1
24.34911243,1.2,,,,17.78200761,1.2,,,15.35974131,1.2
28.69186837,1.3,,,,23.89995368,1.3,,,21.76700111,1.3
32.79394044,1.4,,,,29.27374302,1.4,,,29.30612933,1.4
34.76122481,1.5,,,,31.85940133,1.5,,,32.43027252,1.5
38.88185811,1.6,,,,36.56028639,1.6,,,37.67500745,1.6
42.7213184,1.7,,,,41.51575645,1.7,,,40.41480628,1.7
45.05987023,1.8,,,,44.7162491,1.8,,,43.7328515,1.8
48.32912989,1.9,,,,47.64073371,1.9,,,48.8725065,1.9
50.51664063,2,,,,50.15500577,2,,,49.36452056,2
49.58303118,2,,,,49.46507994,2,,,49.19789333,2
54.00945991,2.2,,,,54.85031899,2.2,,,54.29659864,2.2
58.92564039,2.4,,,,57.80398821,2.4,,,59.01832654,2.4
60.76037186,2.6,,,,62.70695364,2.6,,,60.41128735,2.6
63.80614556,2.8,,,,64.66392085,2.8,,,64.55440437,2.8
67.03979116,3,,,,66.81709265,3,,,65.79384703,3
68.25541619,3.2,,,,68.40985102,3.2,,,68.57875757,3.2
69.97306684,3.4,,,,69.99326647,3.4,,,70.74880248,3.4
72.36157438,3.6,,,,72.27072781,3.6,,,72.00549175,3.6
74.32782944,3.8,,,,73.8637082,3.8,,,74.04389705,3.8
75.0210084,4,,,,75.16030948,4,,,75.41879316,4
76.31027254,4.2,,,,76.30548303,4.2,,,76.05800277,4.2
77.30372634,4.4,,,,77.14886413,4.4,,,76.82617564,4.4
77.9404473,4.6,,,,78.31366289,4.6,,,78.07348767,4.6
79.18752212,4.8,,,,79.36162854,4.8,,,78.96751423,4.8
79.68984009,5,,,,80.23923214,5,,,80.22521549,5
79.90005021,5,,,,79.79983118,5,,,79.88966179,5
81.44032007,5.4,,,,81.58631415,5.4,,,81.66584854,5.4
82.89145706,5.8,,,,82.79896641,5.8,,,82.91557138,5.8
83.85598366,6.2,,,,84.20807544,6.2,,,83.66550117,6.2
84.41014575,6.6,,,,84.8933154,6.6,,,84.95104028,6.6
85.45476378,7,,,,85.53598669,7,,,85.62773245,7
86.31664898,7.4,,,,86.35032599,7.4,,,86.67604632,7.4
87.3799831,7.8,,,,87.23280009,7.8,,,86.86712769,7.8
87.86901984,8.2,,,,87.70599387,8.2,,,87.76468856,8.2
88.16922448,8.6,,,,88.12680035,8.6,,,88.30185528,8.6
88.94828992,9,,,,88.76538942,9,,,88.87679114,9
89.31579349,9.4,,,,89.33493793,9.4,,,89.2078027,9.4
89.7804435,9.8,,,,89.73661417,9.8,,,89.83079962,9.8